"variable","mean","median","sd","mad","q5","q95"
"p_fit[1,3]",0.62050377139515,0.6441605,0.188744774574588,0.1927179849,0.27829975,0.8813357
"p_fit[2,3]",0.6205057569142,0.644161,0.188740829176425,0.1927135371,0.27831065,0.8813308
"p_fit[3,3]",0.620514922121425,0.6441625,0.188722670736379,0.1926950046,0.2783583,0.88131115
"p_fit[4,3]",0.620517417381575,0.644163,0.188717700845748,0.1926898155,0.2783712,0.8813062
"p_fit[5,3]",0.620519344843,0.644163,0.188713902524068,0.192686109,0.27838115,0.88130225
"p_fit[6,3]",0.62051954466075,0.644163,0.188713500131312,0.192686109,0.2783831,0.8813013
"p_fit[7,3]",0.620521571267325,0.644164,0.188709474641024,0.1926816612,0.27839305,0.88129735
"p_fit[8,3]",0.62052285361935,0.644164,0.188706929251343,0.192678696,0.2784,0.8812944
"p_fit[9,3]",0.6205241185721,0.644164,0.188704436911516,0.1926764721,0.27840695,0.88129145
"p_fit[10,3]",0.745377654475,0.754088,0.0785642992232855,0.0440280309,0.6664378,0.82440915
"p_fit[11,3]",0.74537889065,0.7540895,0.0785641339870882,0.0440265483,0.6664388,0.82441015
"p_fit[12,3]",0.74537962615,0.7540905,0.0785640195088176,0.044025807,0.66643885,0.8244111
"p_fit[13,3]",0.7453800008,0.754091,0.0785639726142337,0.0440250657,0.6664398,0.82441115
"p_fit[14,3]",0.7453807206,0.754092,0.0785638733176128,0.0440243244,0.66643985,0.82441115
"p_fit[15,3]",0.7453813089,0.754092,0.0785637873826596,0.0440243244,0.66643985,0.8244121
"p_fit[16,3]",0.7453850847,0.754097,0.0785632528175409,0.0440206179,0.6664429,0.82441415
"p_fit[17,3]",0.745385427075,0.7540975,0.0785631995284757,0.0440198766,0.6664429,0.82441415
"p_fit[18,3]",0.7453860928,0.754098,0.0785631034597858,0.0440191353,0.6664429,0.82441515
"p_fit[19,3]",0.745386813275,0.754099,0.0785630130598208,0.0440183940000001,0.6664439,0.82441515
